source,month,n
guardian_tunisia,2019-06,4
guardian_tunisia,2019-07,5
guardian_tunisia,2019-08,1
guardian_tunisia,2019-09,7
guardian_tunisia,2019-10,4
guardian_tunisia,2019-12,2
guardian_tunisia,2020-01,1
guardian_tunisia,2020-02,2
guardian_tunisia,2020-03,1
guardian_tunisia,2020-04,2
guardian_tunisia,2020-05,1
guardian_tunisia,2020-06,2
guardian_tunisia,2020-07,1
guardian_tunisia,2020-08,1
guardian_tunisia,2020-09,1
guardian_tunisia,2020-10,3
guardian_tunisia,2020-11,2
guardian_tunisia,2020-12,7
guardian_tunisia,2021-01,4
guardian_tunisia,2021-02,6
guardian_tunisia,2021-03,1
guardian_tunisia,2021-05,3
guardian_tunisia,2021-06,3
guardian_tunisia,2021-07,15
guardian_tunisia,2021-08,4
guardian_tunisia,2021-09,4
guardian_tunisia,2021-10,3
guardian_tunisia,2021-12,4
guardian_tunisia,2022-01,2
guardian_tunisia,2022-02,2
guardian_tunisia,2022-03,2
guardian_tunisia,2022-04,4
guardian_tunisia,2022-07,4
guardian_tunisia,2022-09,1
guardian_tunisia,2022-11,2
guardian_tunisia,2022-12,3
guardian_tunisia,2023-01,2
guardian_tunisia,2023-02,6
guardian_tunisia,2023-03,9
guardian_tunisia,2023-04,8
guardian_tunisia,2023-05,11
guardian_tunisia,2023-06,3
guardian_tunisia,2023-07,8
guardian_tunisia,2023-08,7
guardian_tunisia,2023-09,6
guardian_tunisia,2023-10,5
guardian_tunisia,2023-11,1
guardian_tunisia,2023-12,2
guardian_tunisia,2024-01,2
guardian_tunisia,2024-02,2
guardian_tunisia,2024-03,2
guardian_tunisia,2024-04,1
guardian_tunisia,2024-08,1
guardian_tunisia,2024-09,6
guardian_tunisia,2024-10,6
guardian_tunisia,2024-11,2
guardian_tunisia,2024-12,2
guardian_tunisia,2025-01,1
guardian_tunisia,2025-04,3
guardian_tunisia,2025-06,1
guardian_tunisia,2025-09,7
guardian_tunisia,2026-01,1
guardian_tunisia,2026-02,1
guardian_tunisia,2026-03,2
guardian_tunisia,2026-04,1
ilboursa,2014-01,237
ilboursa,2014-02,178
ilboursa,2014-03,229
ilboursa,2014-04,270
ilboursa,2014-05,216
ilboursa,2014-06,188
ilboursa,2014-07,186
ilboursa,2014-08,106
ilboursa,2014-09,146
ilboursa,2014-10,162
ilboursa,2014-11,143
ilboursa,2014-12,175
ilboursa,2015-01,239
ilboursa,2015-02,186
ilboursa,2015-03,168
ilboursa,2015-04,214
ilboursa,2015-05,211
ilboursa,2015-06,198
ilboursa,2015-07,179
ilboursa,2015-08,146
ilboursa,2015-09,171
ilboursa,2015-10,226
ilboursa,2015-11,170
ilboursa,2015-12,166
ilboursa,2016-01,214
ilboursa,2016-02,156
ilboursa,2016-03,188
ilboursa,2016-04,246
ilboursa,2016-05,223
ilboursa,2016-06,153
ilboursa,2016-07,156
ilboursa,2016-08,124
ilboursa,2016-09,136
ilboursa,2016-10,173
ilboursa,2016-11,154
ilboursa,2016-12,139
ilboursa,2017-01,206
ilboursa,2017-02,151
ilboursa,2017-03,173
ilboursa,2017-04,215
ilboursa,2017-05,215
ilboursa,2017-06,139
ilboursa,2017-07,160
ilboursa,2017-08,141
ilboursa,2017-09,153
ilboursa,2017-10,212
ilboursa,2017-11,172
ilboursa,2017-12,146
ilboursa,2018-01,184
ilboursa,2018-02,141
ilboursa,2018-03,159
ilboursa,2018-04,216
ilboursa,2018-05,131
ilboursa,2018-06,105
ilboursa,2018-07,153
ilboursa,2018-08,127
ilboursa,2018-09,159
ilboursa,2018-10,219
ilboursa,2018-11,155
ilboursa,2018-12,151
ilboursa,2019-01,205
ilboursa,2019-02,147
ilboursa,2019-03,174
ilboursa,2019-04,226
ilboursa,2019-05,152
ilboursa,2019-06,97
ilboursa,2019-07,128
ilboursa,2019-08,109
ilboursa,2019-09,157
